#WP  Lon[+-180]  Lat[+-90]  Speed[m/s]  delayT[min]  Altitude[m]  CumLegT[H]  UTC[H]  LocalT[H]  LegT[H]  Dist[km]  CumDist[km]  Dist[Nmi]  CumDist[Nmi]  Speed[kt]  Altitude[kft]  SZA[deg]  AZI[deg]  Bearing[deg]  Climbt[min]  Comments  WPnames
63  -118.30000000  +34.95493066  103.32  0    2667.0  4.69  4.69  20.81  0.08  28.0   1854.3  15.1   1001.2  200.9  8.75  -9999.0  -9999.0  270.0  0    descent  H2163
64  -118.30950586  +34.95561499  103.12  0    2603.5  4.77  4.77  20.88  0.08  28.0   1882.2  15.1   1016.3  200.5  8.54  -9999.0  -9999.0  280.0  0    descent  H2164
65  -118.31872335  +34.95764724  102.93  0    2540.0  4.85  4.85  20.96  0.08  28.0   1910.2  15.1   1031.4  200.1  8.33  -9999.0  -9999.0  290.0  0    descent  H2165
66  -118.32737281  +34.96096574  102.73  0    2476.5  4.92  4.92  21.03  0.08  28.0   1938.1  15.1   1046.5  199.7  8.12  -9999.0  -9999.0  300.0  0    descent  H2166
67  -118.33519173  +34.96546981  102.53  0    2413.0  5.00  5.00  21.11  0.08  28.0   1966.1  15.1   1061.6  199.3  7.92  -9999.0  -9999.0  310.0  0    descent  H2167
68  -118.34194271  +34.97102278  102.33  0    2349.5  5.07  5.07  21.18  0.08  28.0   1994.1  15.1   1076.7  198.9  7.71  -9999.0  -9999.0  320.0  0    descent  H2168
69  -118.34742060  +34.97745611  102.13  0    2286.0  5.15  5.15  21.26  0.08  28.0   2022.0  15.1   1091.8  198.5  7.50  -9999.0  -9999.0  330.0  0    descent  H2169
70  -118.35145882  +34.98457451  101.93  0    2222.5  5.22  5.22  21.33  0.08  28.0   2050.0  15.1   1106.9  198.2  7.29  -9999.0  -9999.0  340.0  0    descent  H2170
71  -118.35393437  +34.99216183  101.73  0    2159.0  5.30  5.30  21.41  0.08  28.0   2077.9  15.1   1122.0  197.8  7.08  -9999.0  -9999.0  350.0  0    descent  H2171
72  -118.35477160  +34.99998764  101.53  0    2095.5  5.38  5.38  21.49  0.08  28.0   2105.9  15.1   1137.1  197.4  6.88  -9999.0  -9999.0  0.0  0    descent  H2172
73  -118.35394464  +35.00781419  101.33  0    2032.0  5.45  5.45  21.56  0.08  28.0   2133.8  15.1   1152.2  197.0  6.67  -9999.0  -9999.0  10.0  0    descent  H2173
74  -118.35147813  +35.01540363  101.13  0    1968.5  5.53  5.53  21.64  0.08  28.0   2161.8  15.1   1167.3  196.6  6.46  -9999.0  -9999.0  20.0  0    descent  H2174
75  -118.34744661  +35.02252527  100.94  0    1905.0  5.61  5.61  21.72  0.08  28.0   2189.7  15.1   1182.4  196.2  6.25  -9999.0  -9999.0  30.0  0    descent  H2175
76  -118.34197228  +35.02896258  100.74  0    1841.5  5.68  5.68  21.79  0.08  28.0   2217.7  15.1   1197.5  195.8  6.04  -9999.0  -9999.0  40.0  0    descent  H2176
77  -118.33522131  +35.03451978  100.54  0    1778.0  5.76  5.76  21.87  0.08  28.0   2245.6  15.1   1212.5  195.4  5.83  -9999.0  -9999.0  50.0  0    descent  H2177
78  -118.32739882  +35.03902783  100.34  0    1714.5  5.84  5.84  21.95  0.08  27.9   2273.6  15.1   1227.6  195.1  5.62  -9999.0  -9999.0  60.0  0    descent  H2178
79  -118.31874265  +35.04234958  100.14  0    1651.0  5.91  5.91  22.03  0.08  27.9   2301.5  15.1   1242.7  194.7  5.42  -9999.0  -9999.0  70.0  0    descent  H2179
80  -118.30951613  +35.04438394  99.94  0    1587.5  5.99  5.99  22.11  0.08  27.9   2329.5  15.1   1257.8  194.3  5.21  -9999.0  -9999.0  80.0  0    descent  H2180
81  -118.30000000  +35.04506901  97.37  0    1524.0  6.07  6.07  22.18  0.13  46.0   2357.4  24.8   1272.9  189.3  5.00  -9999.0  -9999.0  90.0  0    descent  H2181
82  -117.88639100  +34.91078100  0.00  0    704.7  6.20  6.20  22.34  0.00  0.0    2403.4  0.0    1297.7  0.0  2.31  -9999.0  -9999.0  0.0  0      H2182
