polygon_id,date,year,day_of_year,value
Rincon de la Vieja,2018-08-29,2018,241,0.8825
Rincon de la Vieja,2018-09-14,2018,257,0.8801
Rincon de la Vieja,2018-09-30,2018,273,0.4872
Rincon de la Vieja,2018-10-16,2018,289,0.8902
Rincon de la Vieja,2018-11-01,2018,305,0.3487
Rincon de la Vieja,2018-11-17,2018,321,0.9215
Rincon de la Vieja,2018-12-03,2018,337,0.9124
Rincon de la Vieja,2018-12-19,2018,353,0.8909
Rincon de la Vieja,2019-01-01,2019,1,0.9061
Rincon de la Vieja,2019-01-17,2019,17,0.8962
Rincon de la Vieja,2019-02-02,2019,33,0.8712
Rincon de la Vieja,2019-02-18,2019,49,0.8717
Rincon de la Vieja,2019-03-06,2019,65,0.8841
Rincon de la Vieja,2019-03-22,2019,81,0.894
Rincon de la Vieja,2019-04-07,2019,97,0.8433
Rincon de la Vieja,2019-04-23,2019,113,0.8625
Rincon de la Vieja,2019-05-09,2019,129,0.9077
Rincon de la Vieja,2019-05-25,2019,145,0.6201
Rincon de la Vieja,2019-06-10,2019,161,0.0713
Rincon de la Vieja,2019-06-26,2019,177,0.4575
Rincon de la Vieja,2019-07-12,2019,193,0.8663
Rincon de la Vieja,2019-07-28,2019,209,0.434
Rincon de la Vieja,2019-08-13,2019,225,0.8293
Rincon de la Vieja,2019-08-29,2019,241,0.8904
Rincon de la Vieja,2019-09-14,2019,257,0.1464
Rincon de la Vieja,2019-09-30,2019,273,0.4978
Rincon de la Vieja,2019-10-16,2019,289,0.8798
Rincon de la Vieja,2019-11-01,2019,305,0.6371
Rincon de la Vieja,2019-11-17,2019,321,0.2335
Rincon de la Vieja,2019-12-03,2019,337,0.8937
Rincon de la Vieja,2019-12-19,2019,353,0.8158
Rincon de la Vieja,2020-01-01,2020,1,0.3246
Rincon de la Vieja,2020-01-17,2020,17,0.865
Rincon de la Vieja,2020-02-02,2020,33,0.8881
Rincon de la Vieja,2020-02-18,2020,49,0.8838
Rincon de la Vieja,2020-03-05,2020,65,0.8206
Rincon de la Vieja,2020-03-21,2020,81,0.9286
Rincon de la Vieja,2020-04-06,2020,97,0.9163
Rincon de la Vieja,2020-04-22,2020,113,0.6248
Rincon de la Vieja,2020-05-08,2020,129,0.6828
Rincon de la Vieja,2020-05-24,2020,145,0.4369
Rincon de la Vieja,2020-06-09,2020,161,0.5261
Rincon de la Vieja,2020-06-25,2020,177,0.7556
Rincon de la Vieja,2020-07-11,2020,193,0.3124
Rincon de la Vieja,2020-07-27,2020,209,0.6431
Rincon de la Vieja,2020-08-12,2020,225,0.5278
Rincon de la Vieja,2020-08-28,2020,241,0.7136
Rincon de la Vieja,2020-09-13,2020,257,0.4848
Rincon de la Vieja,2020-09-29,2020,273,0.128
Rincon de la Vieja,2020-10-15,2020,289,0.8971
Rincon de la Vieja,2020-10-31,2020,305,0.6089
Rincon de la Vieja,2020-11-16,2020,321,0.7232
Rincon de la Vieja,2020-12-02,2020,337,0.8779
Rincon de la Vieja,2020-12-18,2020,353,0.6917
Rincon de la Vieja,2021-01-01,2021,1,0.7531
Rincon de la Vieja,2021-01-17,2021,17,0.693
Rincon de la Vieja,2021-02-02,2021,33,0.8498
Rincon de la Vieja,2021-02-18,2021,49,0.919
Rincon de la Vieja,2021-03-06,2021,65,0.7697
Rincon de la Vieja,2021-03-22,2021,81,0.8217
Rincon de la Vieja,2021-04-07,2021,97,0.7066
Rincon de la Vieja,2021-04-23,2021,113,0.8644
Rincon de la Vieja,2021-05-09,2021,129,0.5083
Rincon de la Vieja,2021-05-25,2021,145,0.8868
Rincon de la Vieja,2021-06-10,2021,161,0.7754
Rincon de la Vieja,2021-06-26,2021,177,0.6964
Rincon de la Vieja,2021-07-12,2021,193,0.546
Rincon de la Vieja,2021-07-28,2021,209,0.8739
Rincon de la Vieja,2021-08-13,2021,225,0.6263
Rincon de la Vieja,2021-08-29,2021,241,0.3592
Rincon de la Vieja,2021-09-14,2021,257,0.405
Rincon de la Vieja,2021-09-30,2021,273,0.692
Rincon de la Vieja,2021-10-16,2021,289,0.465
Rincon de la Vieja,2021-11-01,2021,305,0.7754
Rincon de la Vieja,2021-11-17,2021,321,0.3343
Rincon de la Vieja,2021-12-03,2021,337,0.7799
Rincon de la Vieja,2021-12-19,2021,353,0.8953
Rincon de la Vieja,2022-01-01,2022,1,0.9245
Rincon de la Vieja,2022-01-17,2022,17,0.9198
Rincon de la Vieja,2022-02-02,2022,33,0.8655
Rincon de la Vieja,2022-02-18,2022,49,0.8303
Rincon de la Vieja,2022-03-06,2022,65,0.8698
Rincon de la Vieja,2022-03-22,2022,81,0.8894
Rincon de la Vieja,2022-04-07,2022,97,0.8364
Rincon de la Vieja,2022-04-23,2022,113,0.6863
Rincon de la Vieja,2022-05-09,2022,129,0.6008
Rincon de la Vieja,2022-05-25,2022,145,0.8435
Rincon de la Vieja,2022-06-10,2022,161,0.5318
Rincon de la Vieja,2022-06-26,2022,177,0.3747
Rincon de la Vieja,2022-07-12,2022,193,0.8903
Rincon de la Vieja,2022-07-28,2022,209,0.6289
Rincon de la Vieja,2022-08-13,2022,225,0.5911
Rincon de la Vieja,2022-08-29,2022,241,0.8709
Rincon de la Vieja,2022-09-14,2022,257,0.7534
Rincon de la Vieja,2022-09-30,2022,273,0.7215
Rincon de la Vieja,2022-10-16,2022,289,0.8816
Rincon de la Vieja,2022-11-01,2022,305,0.3773
Rincon de la Vieja,2022-11-17,2022,321,0.5167
Rincon de la Vieja,2022-12-03,2022,337,0.8802
Rincon de la Vieja,2022-12-19,2022,353,0.9414
